,Actual,Predicted
0,[2.4  0.8  0.17],[2.3716447  0.7535683  0.43176943]
1,[4.   0.8  1.37],[3.9762838 0.8241857 1.2020049]
2,[3.2  3.2  0.17],[3.0023437  3.1447787  0.47100902]
3,[3.2  0.8  1.57],[3.2733114 0.6773193 1.4596024]
4,[0.8  2.4  1.37],[0.675755  2.4028242 1.2362361]
5,[3.2  3.2  1.17],[3.0166578 3.3082495 1.4836541]
6,[3.2  0.8  1.77],[3.2703023  0.67536783 2.0309749 ]
7,[3.2  2.4  1.37],[3.1512733 2.3725855 1.526558 ]
8,[3.2  1.6  0.37],[3.2324905  1.5922875  0.32514822]
9,[4.   2.4  2.17],[3.9475145 2.3178525 2.2406662]
10,[1.6  2.4  1.97],[1.6398253 2.333271  1.9549358]
11,[4.   1.6  0.97],[4.1488104  1.5906572  0.63625586]
12,[2.4  0.8  2.17],[2.3744774 0.9375979 2.401297 ]
13,[2.4  4.   1.77],[2.320318  4.055623  1.9510438]
14,[2.4  0.8  1.77],[2.3927846 0.7131984 2.1898215]
15,[1.6  2.4  0.17],[1.7021122  2.464484   0.28015065]
16,[4.   4.   0.77],[3.6701179 3.808535  1.7732232]
17,[1.6  4.   0.57],[1.6332325 3.949274  0.6492666]
18,[0.8  3.2  1.97],[0.8473933 3.2497945 2.0286639]
19,[4.   1.6  0.97],[4.1950912 1.5659689 1.0991855]
20,[2.4  4.   0.97],[2.2192347 3.9354002 1.3346947]
21,[3.2  2.4  0.97],[3.1058562 2.410823  0.7903498]
22,[1.6  1.6  2.17],[1.562316  1.674569  1.9380908]
23,[0.8  4.   0.97],[0.66289663 4.0827203  0.7841478 ]
24,[1.6  4.   0.57],[1.588202   4.0534096  0.72521555]
25,[4.   0.8  0.77],[4.05585    0.7505505  0.46909118]
26,[2.4  4.   0.17],[2.2335799  3.813551   0.66479415]
27,[2.4  3.2  1.57],[2.4256415 3.1811852 1.1142656]
28,[4.   2.4  0.37],[3.326693  2.3126965 0.5001503]
29,[4.   0.8  1.77],[3.6428676 1.1898792 1.4023094]
30,[0.8  1.6  0.77],[0.99189794 1.6774664  0.823744  ]
31,[3.2  4.   0.17],[2.9885857  3.792573   0.85669583]
32,[1.6  2.4  1.77],[1.6140486 2.4350839 1.6896269]
33,[2.4  3.2  0.57],[2.3630772  3.1814876  0.47222483]
34,[0.8  1.6  0.77],[1.0198138 1.6906503 0.9979465]
35,[0.8  2.4  1.37],[0.7892177 2.3428273 1.2437614]
36,[3.2  1.6  0.17],[3.2582383  1.5793234  0.24840462]
37,[2.4  4.   1.77],[2.323724  4.096188  1.9953731]
38,[2.4  2.4  0.17],[2.410337  2.3789587 0.3620702]
39,[3.2  1.6  2.17],[3.3468874 1.6772566 2.4009051]
40,[2.4  1.6  0.77],[2.321423  1.8126128 1.0896201]
41,[2.4  2.4  0.37],[2.4089801  2.4585917  0.19496143]
42,[2.4  4.   1.37],[2.2162178 3.9351273 1.5846605]
43,[1.6  1.6  0.57],[1.5823867 1.5916451 0.7466303]
44,[4.   0.8  1.57],[4.081195  0.8535663 1.463455 ]
45,[0.8  1.6  1.57],[0.9902247 1.7012353 1.0847485]
46,[4.   4.   2.17],[3.7806485 3.8678396 2.8052974]
47,[2.4  1.6  0.97],[2.4467702 2.1399155 1.3997613]
48,[2.4  0.8  1.57],[2.3502097 0.7916126 1.8964279]
49,[1.6  3.2  1.37],[1.3805103 3.2936263 1.3481272]
50,[0.8  4.   0.57],[0.6778903  4.202841   0.65382725]
51,[0.8  2.4  0.77],[0.7007179  2.4995608  0.70881975]
52,[2.4  4.   1.57],[2.2580037 3.9467278 1.9200131]
53,[1.6  3.2  0.37],[1.5903938 3.0605826 1.2407027]
54,[3.2  2.4  0.17],[3.2832546  2.3346767  0.26914185]
55,[2.4  2.4  1.57],[2.2479334 2.5452561 2.0381298]
56,[0.8  3.2  0.17],[0.6843245  3.28959    0.36417782]
57,[2.4  0.8  0.77],[2.387045   0.72878814 1.419208  ]
58,[2.4  0.8  0.57],[2.3034441 0.8021157 0.794919 ]
59,[3.2  1.6  0.57],[2.7369478  2.290233   0.71350586]
60,[0.8  1.6  0.57],[1.0227573  1.6746821  0.72450304]
61,[1.6  1.6  0.77],[1.6167698 1.6326907 0.8384849]
62,[3.2  0.8  1.77],[3.2300901  0.70331216 2.10815   ]
63,[0.8  0.8  0.37],[0.7878382  0.8317313  0.82151735]
64,[0.8  2.4  0.17],[0.87829864 2.3914888  0.40450424]
65,[4.   3.2  0.97],[3.8508759 3.262893  1.710619 ]
66,[4.   4.   0.17],[3.6294641 3.6929162 1.6679658]
67,[1.6  2.4  1.17],[1.6498123 2.4240947 1.1893032]
68,[0.8  1.6  2.17],[1.0512038 1.6616201 1.5288574]
69,[0.8  3.2  1.17],[0.67388415 3.3203568  1.2435855 ]
70,[2.4  4.   1.77],[2.3222253 4.126683  2.1124885]
71,[2.4  0.8  0.17],[2.3049974 0.6993027 0.5482272]
72,[2.4  4.   1.17],[2.2156355 3.8796234 1.6217502]
73,[1.6  2.4  1.77],[1.6338072 2.4315357 1.7319602]
74,[0.8  3.2  0.57],[0.76929283 3.2451608  0.31766784]
75,[1.6  3.2  1.97],[1.4369177 3.3080306 1.7917948]
76,[0.8  0.8  1.17],[0.81823397 0.7753111  1.5467257 ]
77,[2.4  2.4  0.37],[2.395603   2.4541507  0.18702292]
78,[0.8  1.6  1.17],[0.9935181 1.7059779 0.8146693]
79,[0.8  2.4  0.17],[1.1702276 2.3511798 0.3221389]
80,[3.2  2.4  0.77],[2.4472668  2.3568637  0.60862005]
81,[3.2  3.2  1.57],[3.0215783 3.1593435 1.7885767]
82,[1.6  4.   0.97],[1.6045853 3.9965956 0.8666435]
83,[1.6  3.2  1.37],[1.3840474 3.362443  1.1341906]
84,[1.6  3.2  1.97],[1.3950602 3.3521414 1.5911006]
85,[3.2  1.6  0.57],[3.2145112 1.5650871 0.5677956]
86,[1.6  1.6  1.17],[1.6147671 1.6424531 1.368732 ]
87,[4.   1.6  1.17],[4.0796137 1.6236367 1.0519133]
88,[4.   1.6  0.57],[4.0737977 1.6312605 0.4853658]
89,[2.4  3.2  0.77],[2.3635776  3.2104673  0.98545647]
90,[4.   1.6  1.97],[4.4947386 1.3832221 2.2400382]
91,[4.   0.8  1.97],[3.808942   0.96738946 2.0191517 ]
92,[1.6  2.4  1.37],[1.5909221 2.41151   1.554173 ]
93,[4.   4.   1.57],[3.7778466 3.9782944 2.7285175]
94,[1.6  3.2  2.17],[1.9905816 2.713801  1.3743627]
95,[0.8  0.8  0.17],[0.7858572  0.73782635 0.6046444 ]
96,[2.4  4.   0.97],[2.2185001 3.9459157 1.3029518]
97,[0.8  0.8  1.17],[0.81405056 0.75653005 1.2618964 ]
98,[1.6  1.6  1.57],[1.6796495 1.6650872 1.31685  ]
99,[3.2  0.8  2.17],[3.2828102 0.7770932 2.1382852]
100,[1.6  3.2  1.37],[1.4280989 3.3411098 1.2984686]
101,[1.6  1.6  1.57],[1.6296713 1.6478709 1.4654555]
102,[2.4  3.2  1.57],[2.3877153 3.1943555 1.4336947]
103,[0.8  3.2  0.57],[0.73135984 3.2698135  0.3824495 ]
104,[0.8  3.2  0.57],[0.7033613  3.2620542  0.42459744]
105,[3.2  2.4  0.57],[3.250851   2.380412   0.85098624]
106,[1.6  4.   0.97],[1.6103896 4.0251713 1.1469153]
107,[4.   1.6  1.37],[4.239711  1.575464  1.3817823]
108,[3.2  0.8  0.77],[3.3323557 0.5800483 0.9612858]
109,[3.2  0.8  1.37],[3.2820964 0.6739924 1.4679492]
110,[0.8  3.2  0.37],[0.7513932  3.2075934  0.48328072]
111,[3.2  1.6  1.37],[3.3223991 1.5429728 1.3477752]
112,[3.2  3.2  0.17],[2.9904284  3.1352172  0.41596645]
113,[1.6  1.6  1.77],[1.5696276 1.6587989 1.72407  ]
114,[0.8  0.8  0.97],[0.7867229 0.8219204 1.3172189]
115,[2.4  4.   0.57],[2.2268014 3.883756  0.8748386]
116,[4.   4.   0.17],[3.5866632 3.6902628 1.4666157]
117,[1.6  3.2  1.77],[1.4078562 3.3470178 1.1570596]
118,[3.2  2.4  0.17],[3.1491494  2.3429787  0.32475352]
119,[1.6  4.   1.57],[1.6102943 4.011322  1.5254107]
120,[2.4  1.6  0.57],[2.3223772 1.901913  0.7326795]
121,[4.   4.   0.17],[3.592181  3.6851766 1.4508531]
122,[2.4  1.6  2.17],[2.3394952 1.7345173 2.1100948]
123,[4.   3.2  0.57],[3.7758346 3.256697  1.1469276]
124,[1.6  2.4  1.97],[1.6970664 2.389095  1.787255 ]
125,[1.6  0.8  0.57],[1.5655688  0.7884587  0.59412014]
126,[4.   4.   0.17],[3.6254616 3.6579943 1.3408638]
127,[3.2  3.2  0.77],[3.0494046 3.260917  1.2786698]
128,[1.6  1.6  1.97],[1.583329  1.6494606 1.9842203]
129,[4.   0.8  1.57],[4.0586557 0.8652663 1.5222981]
130,[1.6  4.   1.77],[1.5701271 4.089878  1.7497439]
131,[0.8  2.4  0.77],[0.6907234 2.4470453 0.6800474]
132,[4.   4.   0.57],[3.6641593 3.774296  1.8873386]
133,[0.8  4.   0.17],[0.7462125  4.0919933  0.38928008]
134,[2.4  0.8  0.17],[2.3773503  0.71659756 0.44478184]
135,[4.   0.8  2.17],[3.0846725 1.7236989 1.9077096]
136,[4.   1.6  1.97],[4.702588  1.2415428 2.2116058]
137,[1.6  0.8  1.97],[1.6275792  0.87159824 1.8562672 ]
138,[0.8  4.   1.97],[1.0624573 3.9292665 2.1991744]
139,[0.8  1.6  1.37],[0.95284367 1.6699461  1.0213685 ]
140,[2.4  3.2  1.97],[2.4193845 3.4655368 2.356008 ]
141,[0.8  4.   2.17],[0.72959936 4.093216   1.8593264 ]
142,[0.8  0.8  1.97],[0.8408654  0.84118867 1.8349175 ]
143,[4.   1.6  0.57],[4.1667056  1.5314269  0.37351185]
144,[3.2  4.   0.17],[2.9698567 3.867785  0.8834132]
145,[3.2  3.2  0.77],[3.0837593 3.2837715 1.5882452]
146,[0.8  0.8  1.57],[0.8130295 0.8175874 1.5254805]
147,[3.2  2.4  0.97],[3.0520716 2.4189618 0.8305242]
148,[0.8  0.8  2.17],[0.8912041 0.81485   2.0652804]
149,[0.8  3.2  1.57],[1.1785651 3.0614796 1.8690991]
150,[1.6  3.2  0.77],[2.2185829 2.5783253 0.9946921]
151,[4.   4.   0.17],[3.6183624 3.6820743 1.6531086]
152,[1.6  3.2  0.37],[1.4950147 3.3569925 0.5176948]
153,[0.8  4.   0.17],[0.76031804 4.0946016  0.37167853]
154,[1.6  3.2  0.57],[1.5043219 3.3442602 0.4038986]
155,[4.   2.4  2.17],[3.9789107 2.275914  2.1615324]
156,[1.6  4.   1.57],[1.5862565 4.040227  1.2752172]
157,[4.   4.   0.97],[3.7313278 3.9247248 2.4510016]
158,[4.   3.2  0.17],[3.8962066 3.1355906 0.6751325]
159,[2.4  1.6  1.77],[2.3879173 1.7835763 2.082831 ]
160,[1.6  4.   1.17],[1.6028808 4.026593  1.1353902]
161,[1.6  0.8  0.97],[1.6143324 0.7999265 1.2545878]
162,[2.4  0.8  2.17],[2.372908   0.76630664 2.5867553 ]
163,[4.   4.   1.17],[3.7493668 3.8937802 2.1075163]
164,[2.4  4.   1.57],[2.2704532 3.8579924 1.8900182]
165,[0.8  3.2  1.37],[0.71981764 3.3880935  1.2927792 ]
166,[3.2  4.   0.57],[3.0705671 3.8689334 1.0485499]
167,[3.2  3.2  1.17],[3.021865  3.2764933 1.3640553]
168,[0.8  2.4  1.37],[0.9994836 2.4663568 1.066517 ]
169,[3.2  1.6  1.17],[3.3698134 1.515837  1.0460036]
170,[4.   0.8  1.57],[4.0722027 0.8817247 1.4515492]
171,[0.8  2.4  1.57],[0.8242705 2.332412  1.5581745]
172,[4.   1.6  2.17],[4.636495  1.310827  2.2570684]
173,[3.2  3.2  1.17],[3.0554366 3.2979198 1.5178899]
174,[1.6  3.2  2.17],[1.4398685 3.2711945 1.2568644]
175,[3.2  3.2  1.97],[3.052091  3.4719887 2.399519 ]
176,[4.   1.6  1.97],[4.73478   1.1730676 2.1716573]
177,[4.   1.6  1.57],[3.3281076 2.091752  1.9099796]
178,[4.   1.6  0.97],[4.107066   1.5810945  0.70617336]
179,[3.2  2.4  0.57],[3.2241697 2.3949158 0.6107534]
180,[0.8  1.6  1.97],[1.1302994 1.710672  1.230443 ]
181,[2.4  2.4  0.77],[2.3840294 2.4342198 0.7456968]
182,[3.2  0.8  0.57],[3.2725143 0.6442287 0.7031243]
183,[0.8  1.6  1.57],[0.9500985 1.7170852 1.0584122]
184,[2.4  4.   1.57],[2.2862625 4.0014706 2.0505054]
185,[0.8  4.   1.77],[0.69421935 4.0899906  1.8256257 ]
186,[4.   4.   0.57],[3.6123433 3.7387657 1.6574566]
187,[4.   3.2  0.57],[3.766614  3.2642567 1.1985979]
188,[2.4  1.6  0.97],[2.4117675 2.0940552 1.3617568]
189,[0.8  1.6  1.57],[0.96479106 1.7134514  1.0926828 ]
190,[1.6  4.   1.57],[1.6031122 4.0047455 1.3313532]
191,[4.   3.2  1.77],[3.8045037 3.3129876 2.2933183]
192,[0.8  4.   1.57],[0.8953922 3.8374605 1.7294652]
193,[2.4  0.8  1.77],[2.3769836 0.6992878 2.1045234]
194,[2.4  0.8  2.17],[2.3653536  0.83231235 2.434266  ]
195,[0.8  0.8  1.37],[0.8155675 0.8453052 1.4763625]
196,[3.2  1.6  1.57],[3.1716437 1.6204067 1.269959 ]
197,[3.2  3.2  1.77],[3.125627  3.2502856 2.3082905]
198,[1.6  4.   1.37],[1.5787462 4.003286  1.3805741]
199,[4.   1.6  1.17],[4.0474577 1.6217678 1.093359 ]
200,[3.2  1.6  1.97],[3.155039  1.833615  1.8578081]
201,[3.2  0.8  1.37],[3.2652035  0.70011926 1.5099998 ]
202,[1.6  2.4  1.77],[1.6084213 2.417437  1.628745 ]
203,[1.6  2.4  0.57],[1.5415509 2.394454  0.5232279]
204,[2.4  4.   1.97],[2.3216186 4.0887265 2.092084 ]
205,[4.   3.2  1.57],[3.7859948 3.2933803 2.076192 ]
206,[0.8  0.8  2.17],[0.879905   0.79551387 2.077969  ]
207,[1.6  0.8  1.57],[1.650511   0.83979905 1.5928487 ]
208,[3.2  0.8  1.17],[3.3430216 0.5706186 1.1889243]
209,[0.8  3.2  1.17],[0.6959388 3.30066   1.4307091]
210,[0.8  4.   0.37],[0.7487011  4.1727705  0.77716076]
211,[4.   1.6  0.97],[4.105768  1.5824482 0.5684971]
212,[2.4  3.2  1.17],[2.3071394 3.1989222 1.0558226]
213,[3.2  1.6  1.17],[3.3537195  1.4669056  0.81754017]
214,[0.8  1.6  0.57],[1.0419686  1.6659418  0.74944025]
215,[3.2  3.2  1.37],[3.1802552 3.2498007 1.8935769]
216,[4.   3.2  1.57],[3.7814288 3.3210955 2.124793 ]
217,[4.   0.8  1.37],[3.9739833 0.8242105 1.0196123]
218,[3.2  1.6  2.17],[3.123375  1.7625515 2.194505 ]
219,[0.8  2.4  1.37],[0.67902756 2.4666576  1.3359208 ]
220,[4.   0.8  1.97],[3.8616724 0.9211401 1.9621828]
221,[4.   2.4  1.37],[3.9909482 2.412544  1.4732435]
222,[3.2  3.2  1.57],[3.0064378 3.1758592 1.8922615]
223,[2.4  1.6  1.17],[2.4176955 1.9591016 1.2732164]
224,[3.2  2.4  0.17],[2.2549741 2.4611342 1.1030517]
225,[4.   3.2  1.37],[3.74632  3.32789  2.029873]
226,[0.8  3.2  1.97],[0.9239478 3.228978  2.0373263]
227,[4.   1.6  0.17],[4.086211   1.5654955  0.09243643]
228,[1.6  2.4  1.17],[1.6030035 2.3846    0.9987291]
229,[2.4  1.6  0.77],[2.3566134 1.8093486 1.0112207]
230,[0.8  1.6  0.57],[0.98746586 1.6916236  0.64363325]
231,[0.8  3.2  2.17],[1.1598297 3.1478324 2.0968065]
232,[2.4  1.6  1.17],[2.3792245 1.9915514 0.9910609]
233,[3.2  0.8  1.57],[3.2570927 0.7727014 1.6019924]
234,[3.2  0.8  0.97],[3.2251954  0.68313885 0.91067684]
235,[1.6  4.   0.37],[1.6264439 3.957071  0.8404361]
236,[4.   2.4  2.17],[3.9234085 2.339928  2.2560098]
237,[0.8  2.4  1.97],[0.65858376 2.3552496  1.9658737 ]
238,[3.2  0.8  1.37],[3.2222407  0.71691656 1.5686874 ]
239,[0.8  1.6  1.17],[0.9633806  1.6941373  0.94366723]
240,[4.   1.6  0.17],[4.1938186  1.6396687  0.15366006]
241,[1.6  1.6  0.97],[1.638005  1.6113589 0.8193793]
242,[0.8  4.   1.57],[0.66068125 4.1443667  1.7064438 ]
243,[3.2  4.   0.57],[3.0257368 3.9418855 1.3753309]
244,[1.6  0.8  1.77],[1.6395867 0.8319324 1.7504194]
245,[2.4  4.   0.97],[2.2198317 3.9460387 1.4391223]
246,[4.   4.   1.97],[3.7663927 3.9348722 2.2534118]
247,[1.6  1.6  0.97],[1.6238136 1.672969  0.7749461]
248,[4.   3.2  0.37],[3.7429981 3.243949  1.055297 ]
