,Actual,Predicted
0,[2.4  0.8  0.17],[2.3372457  0.8678653  0.14224756]
1,[4.   0.8  1.37],[3.6201634 1.2048995 0.7326126]
2,[3.2  3.2  0.17],[3.165488  3.2528977 0.5097014]
3,[3.2  0.8  1.57],[2.8039947 1.1722918 1.5519137]
4,[0.8  2.4  1.37],[0.44925618 2.5313933  1.6299933 ]
5,[3.2  3.2  1.17],[3.1177049 3.327598  1.4070084]
6,[3.2  0.8  1.77],[2.7819567 1.1291306 1.6679337]
7,[3.2  2.4  1.37],[3.1371439 2.5499146 1.399533 ]
8,[3.2  1.6  0.37],[3.0130239  1.6384952  0.42390126]
9,[4.   2.4  2.17],[3.4509177 2.5939994 2.0666459]
10,[1.6  2.4  1.97],[1.8657094 2.4172702 1.623888 ]
11,[4.   1.6  0.97],[3.9016862  1.7082794  0.60188794]
12,[2.4  0.8  2.17],[2.2494226 0.9889053 1.8489287]
13,[2.4  4.   1.77],[2.2752254 4.093745  1.9060913]
14,[2.4  0.8  1.77],[2.2831187  0.87232995 1.7381492 ]
15,[1.6  2.4  0.17],[2.3633118 2.49924   0.8199801]
16,[4.   4.   0.77],[3.8815808 4.130431  0.6936895]
17,[1.6  4.   0.57],[1.5987271 4.0278015 0.7189312]
18,[0.8  3.2  1.97],[2.0963173 2.6814046 1.9683774]
19,[4.   1.6  0.97],[3.764082  1.7735678 0.8967768]
20,[2.4  4.   0.97],[2.3032994 4.154299  1.1023464]
21,[3.2  2.4  0.97],[3.243255  2.531356  0.9263586]
22,[1.6  1.6  2.17],[1.5578861 1.6466007 2.307374 ]
23,[0.8  4.   0.97],[1.1577513 3.6336675 0.9092902]
24,[1.6  4.   0.57],[1.6114643  4.0317235  0.77352715]
25,[4.   0.8  0.77],[4.1490235  0.95492053 0.18092066]
26,[2.4  4.   0.17],[2.3655791  4.0715284  0.34562498]
27,[2.4  3.2  1.57],[2.3212411 3.53719   1.5321894]
28,[4.   2.4  0.37],[3.4593983 2.553959  0.8400852]
29,[4.   0.8  1.77],[3.2182438 1.5165358 1.064084 ]
30,[0.8  1.6  0.77],[0.96771646 1.6509501  1.4013542 ]
31,[3.2  4.   0.17],[3.1180973  4.137086   0.46443987]
32,[1.6  2.4  1.77],[1.6841346 2.4021354 1.6291449]
33,[2.4  3.2  0.57],[2.3695984 3.6016946 0.8272365]
34,[0.8  1.6  0.77],[0.98548543 1.6465876  1.8467635 ]
35,[0.8  2.4  1.37],[0.47750783 2.5701976  1.6384689 ]
36,[3.2  1.6  0.17],[2.9934063 1.759337  0.9559928]
37,[2.4  4.   1.77],[2.2717156 4.089084  1.9342414]
38,[2.4  2.4  0.17],[2.45612   2.3777924 0.3691572]
39,[3.2  1.6  2.17],[3.069122  1.8272917 2.2240639]
40,[2.4  1.6  0.77],[2.408823  1.6535984 1.0616654]
41,[2.4  2.4  0.37],[2.4400065 2.476767  0.262775 ]
42,[2.4  4.   1.37],[2.3269677 4.132517  1.3308207]
43,[1.6  1.6  0.57],[1.631204  1.589133  0.7625989]
44,[4.   0.8  1.57],[3.456668  1.2713546 0.9311949]
45,[0.8  1.6  1.57],[0.9767406 1.491941  2.0969594]
46,[4.   4.   2.17],[3.7123678 4.0505533 2.0629513]
47,[2.4  1.6  0.97],[2.3990831 1.717545  1.0396273]
48,[2.4  0.8  1.57],[2.3094573 0.9101136 1.502424 ]
49,[1.6  3.2  1.37],[1.4882728 3.3295164 1.4797196]
50,[0.8  4.   0.57],[0.73047614 3.9789393  0.6903094 ]
