,Actual,Predicted
92,[3.2  2.4  0.57],[3.1868417  2.387388   0.48316455]
93,[3.2  4.   0.77],[3.2165058  4.060792   0.92053425]
94,[1.6  4.   0.77],[1.6143423  3.9985917  0.78308743]
95,[2.4  0.8  0.97],[2.4182162  0.7947342  0.86718994]
96,[1.6  1.6  2.17],[1.6056126 1.6203716 2.2309587]
97,[0.8  4.   0.17],[0.8036225  4.0318336  0.16764264]
98,[3.2  4.   0.37],[3.2181942 4.0612884 0.5404603]
99,[0.8  0.8  0.57],[0.7955615  0.82195044 0.7210809 ]
100,[2.4  2.4  2.17],[2.4141247 2.3995297 1.6110935]
101,[2.4  4.   0.57],[2.4176605 4.04046   0.6840042]
102,[4.   4.   1.37],[4.0263734 4.0696783 1.5729592]
103,[4.   2.4  0.37],[2.717991   2.459902   0.41772422]
104,[4.   0.8  1.97],[4.000963   0.82072353 1.8936229 ]
105,[2.4  1.6  0.97],[2.413909  1.6078343 0.8399899]
106,[0.8  1.6  1.77],[0.79184586 1.6213069  1.5778881 ]
107,[2.4  3.2  0.57],[2.4156542 3.230236  0.3587913]
108,[1.6  2.4  1.17],[1.5687096 2.4177403 1.0829535]
109,[1.6  2.4  0.97],[1.5511594 2.4324453 1.1070383]
110,[1.6  3.2  0.17],[1.772463   3.022541   0.40998673]
111,[2.4  3.2  1.17],[2.4172456 3.2198763 0.904469 ]
112,[3.2  3.2  0.77],[3.218012   3.2443013  0.95600677]
113,[2.4  4.   0.37],[2.4222534  4.0314827  0.43607908]
114,[1.6  4.   1.17],[1.5986072 3.9900346 0.9649465]
115,[0.8  2.4  0.17],[0.8286958  2.4355724  0.31714028]
116,[3.2  0.8  0.17],[3.1987412  0.8108649  0.20590612]
117,[2.4  2.4  0.17],[2.4515076 2.4125006 0.       ]
118,[2.4  3.2  0.57],[2.4084702  3.2284262  0.41754472]
119,[4.   2.4  0.37],[4.076061  2.427765  0.4107263]
120,[1.6  3.2  1.77],[1.5668314 3.2050695 1.666934 ]
121,[1.6  3.2  0.37],[1.6097846 3.191131  0.5182447]
122,[3.2  2.4  0.37],[3.1963956  2.3995855  0.27899718]
123,[4.   0.8  0.57],[4.003168   0.80469036 0.37675828]
124,[4.   3.2  0.57],[4.04678    3.251947   0.80738515]
125,[3.2  1.6  0.77],[3.22812   1.5428662 0.8283889]
126,[0.8  1.6  0.77],[0.80112576 1.6121066  0.82378125]
127,[0.8  0.8  2.17],[0.80637634 0.818323   2.1154795 ]
128,[1.6  1.6  1.57],[1.5923249 1.5954747 1.6184212]
129,[1.6  3.2  0.57],[1.6340516  3.1847677  0.62194884]
130,[4.   3.2  0.37],[4.0319247 3.238399  0.5416993]
131,[2.4  4.   1.57],[2.4218285 4.0494175 1.7566988]
132,[3.2  2.4  0.37],[3.2688434 2.4068506 0.2465614]
133,[0.8  0.8  1.57],[0.7819309 0.8278197 1.2632184]
134,[3.2  3.2  0.37],[3.2169654  3.2160423  0.43997103]
135,[2.4  2.4  1.97],[2.4404838 2.3742409 1.6768806]
136,[0.8  0.8  0.97],[0.7945796 0.8232388 1.029398 ]
137,[3.2  0.8  1.97],[3.169587  0.8322605 1.9656501]
138,[3.2  0.8  1.97],[3.2071397  0.81280744 2.000952  ]
139,[4.   2.4  1.77],[3.9867623 2.418065  1.7065744]
140,[4.   0.8  0.17],[3.9903567  0.8174338  0.09044217]
141,[0.8  3.2  0.37],[0.78261906 3.233468   0.31371304]
142,[2.4  1.6  1.37],[2.4334142 1.5935717 1.1908921]
143,[0.8  1.6  1.97],[0.7821982 1.6418128 1.3648503]
144,[0.8  2.4  1.57],[0.7353811 2.3930593 1.6419959]
145,[4.   1.6  1.17],[3.9865792 1.5961323 1.096556 ]
146,[0.8  4.   0.57],[0.79923666 4.040124   0.5363363 ]
147,[3.2  0.8  1.37],[3.174721  0.7814283 1.4012976]
148,[2.4  1.6  0.57],[2.4823976  2.2996478  0.72104865]
149,[1.6  0.8  0.17],[1.5932806  0.8241428  0.15175417]
150,[0.8  2.4  1.37],[0.78121114 2.4209144  1.255263  ]
151,[3.2  1.6  1.57],[3.2085083 1.6369119 1.6399364]
152,[0.8  2.4  2.17],[0.7475457 2.3791337 2.172578 ]
153,[1.6  2.4  1.97],[1.7508774 2.422773  1.6891536]
154,[1.6  0.8  2.17],[1.6027324  0.80968845 2.1746917 ]
155,[4.   3.2  0.17],[4.035034   3.259902   0.31500566]
156,[4.   1.6  0.17],[4.0065765  1.6292193  0.27055252]
157,[0.8  1.6  2.17],[0.80429757 1.6093285  2.079373  ]
158,[3.2  2.4  1.37],[3.208382  2.4359524 1.1967192]
159,[3.2  1.6  2.17],[3.1959798 1.5948513 2.165074 ]
160,[0.8  1.6  1.77],[0.8088473 1.6194034 1.6227206]
161,[0.8  3.2  1.97],[1.8763804 2.6589563 1.8427955]
162,[1.6  3.2  1.97],[1.6009984 3.228313  1.9208716]
163,[2.4  4.   2.17],[2.4153073 4.0305443 2.3214023]
164,[1.6  1.6  1.57],[1.6034467 1.6080506 1.5607643]
165,[4.   1.6  1.97],[3.9052951 1.6008496 1.8775597]
166,[3.2  4.   1.97],[3.2449834 4.0561275 2.0931623]
167,[0.8  4.   1.37],[0.778725  4.01218   1.2733171]
168,[2.4  0.8  1.77],[2.4248896 0.8244666 1.6520365]
169,[2.4  2.4  1.37],[2.4496324 2.3779328 1.1577346]
170,[3.2  1.6  0.17],[3.2277243  1.5644636  0.14475529]
171,[3.2  2.4  0.97],[3.1318989  2.3879218  0.74038255]
172,[2.4  4.   2.17],[2.4135916 4.054369  2.350837 ]
173,[4.   0.8  2.17],[4.101705   0.73943275 2.166481  ]
174,[4.   2.4  0.77],[3.9670336 2.4003105 0.7330761]
175,[1.6  0.8  0.37],[1.6118947  0.79841554 0.2955158 ]
176,[2.4  3.2  1.57],[2.4236462 3.258428  1.5074565]
177,[0.8  2.4  1.37],[0.7582545 2.4248314 1.3333439]
178,[2.4  4.   1.97],[2.4256754 4.054289  2.0461495]
179,[0.8  2.4  1.97],[0.79129183 2.409352   1.9007796 ]
180,[0.8  1.6  1.17],[0.80152494 1.6197329  1.1937845 ]
181,[0.8  4.   1.97],[0.7782527 4.0373735 1.9185724]
182,[3.2  0.8  2.17],[3.233733  0.8264185 2.137896 ]
183,[1.6  3.2  0.57],[1.5967491  3.1844172  0.44120938]
184,[1.6  1.6  0.57],[1.618559  1.6140618 0.5564404]
185,[3.2  4.   0.37],[3.2131398  4.0712576  0.47222793]
